신호 추적 로그 - BTC_USDT (Long)
생성 일시: 2026-05-05 02:10:33.376754
신호 조건: prob >= 0.35, TP=4.50%, SL=-1.50%, horizon=72 bars

총 신호 903건 | 적중률 48.95%

========================================================================================================================
date                | prob   | MFE%    | MAE%    | result | ret%    | bars | reason
------------------------------------------------------------------------------------------------------------------------
2025-11-28 09:55:00 | 37.19% |  +1.492% |  -0.462% | WIN    |  +0.837% |   72 | 시간종료 양수
2025-11-28 10:00:00 | 37.20% |  +1.572% |  -0.385% | WIN    |  +0.743% |   72 | 시간종료 양수
2025-11-28 10:05:00 | 37.23% |  +1.618% |  -0.339% | WIN    |  +0.579% |   72 | 시간종료 양수
2025-11-28 10:10:00 | 37.29% |  +1.571% |  -0.385% | WIN    |  +0.402% |   72 | 시간종료 양수
2025-11-28 10:15:00 | 37.35% |  +1.512% |  -0.443% | WIN    |  +0.444% |   72 | 시간종료 양수
2025-11-28 10:20:00 | 37.37% |  +1.478% |  -0.476% | LOSS   |  -0.242% |   72 | SL/음수 종료
2025-11-28 10:25:00 | 37.36% |  +1.527% |  -0.428% | LOSS   |  -0.401% |   72 | SL/음수 종료
2025-11-28 10:30:00 | 37.25% |  +1.477% |  -0.478% | LOSS   |  -0.244% |   72 | SL/음수 종료
2025-11-28 10:35:00 | 37.15% |  +1.430% |  -0.524% | LOSS   |  -0.236% |   72 | SL/음수 종료
2025-11-28 10:40:00 | 37.03% |  +1.458% |  -0.496% | LOSS   |  -0.053% |   72 | SL/음수 종료
2025-11-28 10:45:00 | 36.90% |  +1.484% |  -0.470% | LOSS   |  -0.142% |   72 | SL/음수 종료
2025-11-28 10:50:00 | 36.74% |  +1.210% |  -0.739% | LOSS   |  -0.587% |   72 | SL/음수 종료
2025-12-01 02:25:00 | 37.60% |  +0.017% |  -1.534% | LOSS   |  -1.534% |   24 | SL 선터치
2025-12-01 02:30:00 | 37.44% |  +0.000% |  -1.551% | LOSS   |  -1.551% |   23 | SL 선터치
2025-12-01 02:35:00 | 37.29% |  +0.157% |  -1.174% | WIN    |  +0.023% |   72 | 시간종료 양수
2025-12-03 07:10:00 | 37.41% |  +0.157% |  -0.520% | LOSS   |  -0.288% |   72 | SL/음수 종료
2025-12-03 07:15:00 | 37.40% |  +0.513% |  -0.167% | WIN    |  +0.213% |   72 | 시간종료 양수
2025-12-03 07:20:00 | 37.48% |  +0.232% |  -0.446% | LOSS   |  -0.114% |   72 | SL/음수 종료
2025-12-03 07:25:00 | 37.52% |  +0.336% |  -0.343% | LOSS   |  -0.035% |   72 | SL/음수 종료
2025-12-03 07:30:00 | 37.53% |  +0.354% |  -0.325% | WIN    |  +0.075% |   72 | 시간종료 양수
2025-12-03 07:35:00 | 37.55% |  +0.346% |  -0.333% | WIN    |  +0.053% |   72 | 시간종료 양수
2025-12-03 07:40:00 | 37.57% |  +0.275% |  -0.403% | WIN    |  +0.114% |   72 | 시간종료 양수
2025-12-03 07:45:00 | 37.60% |  +0.317% |  -0.362% | WIN    |  +0.160% |   72 | 시간종료 양수
2025-12-03 07:50:00 | 37.63% |  +0.346% |  -0.333% | WIN    |  +0.132% |   72 | 시간종료 양수
2025-12-03 07:55:00 | 37.63% |  +0.373% |  -0.306% | WIN    |  +0.130% |   72 | 시간종료 양수
2025-12-03 08:00:00 | 37.63% |  +0.281% |  -1.427% | LOSS   |  -1.427% |   72 | SL/음수 종료
2025-12-03 08:05:00 | 37.64% |  +0.455% |  -1.256% | LOSS   |  -0.926% |   72 | SL/음수 종료
2025-12-03 08:10:00 | 37.65% |  +0.394% |  -1.316% | LOSS   |  -1.029% |   72 | SL/음수 종료
2025-12-03 08:15:00 | 37.64% |  +0.554% |  -1.159% | LOSS   |  -0.521% |   72 | SL/음수 종료
2025-12-03 08:20:00 | 37.61% |  +0.537% |  -1.175% | LOSS   |  -0.600% |   72 | SL/음수 종료
2025-12-03 08:25:00 | 37.55% |  +0.473% |  -1.239% | LOSS   |  -0.396% |   72 | SL/음수 종료
2025-12-03 08:30:00 | 37.49% |  +0.576% |  -1.138% | LOSS   |  -0.682% |   72 | SL/음수 종료
2025-12-03 08:35:00 | 37.45% |  +0.551% |  -1.162% | LOSS   |  -0.236% |   72 | SL/음수 종료
2025-12-03 08:40:00 | 37.43% |  +0.733% |  -1.134% | WIN    |  +0.733% |   72 | 시간종료 양수
2025-12-03 08:45:00 | 37.36% |  +0.736% |  -1.131% | WIN    |  +0.152% |   72 | 시간종료 양수
2025-12-03 08:50:00 | 37.26% |  +0.835% |  -1.034% | LOSS   |  -0.044% |   72 | SL/음수 종료
2025-12-03 08:55:00 | 37.21% |  +0.785% |  -1.083% | LOSS   |  -0.445% |   72 | SL/음수 종료
2025-12-03 09:00:00 | 37.17% |  +0.636% |  -1.229% | WIN    |  +0.028% |   72 | 시간종료 양수
2025-12-03 09:05:00 | 37.07% |  +0.747% |  -1.120% | LOSS   |  -0.263% |   72 | SL/음수 종료
