RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/runs/m002/best_model.zip
Initial Balance : 10000.00
Final Balance   : 10989.71
Total Return(%) : +9.90
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 712
Long Trades     : 711
Short Trades    : 1
Win Rate(%)     : 73.60

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  LONG | 2023-05-06 19:55:00 | 2023-05-07 14:45:00 |         64 |       290 |  226 |   28841.6504 |   29042.9805 |    0.698 |    0.598 |     manual
   2 |  LONG | 2023-05-14 18:05:00 | 2023-05-15 06:25:00 |       2346 |      2494 |  148 |   26936.0098 |   27516.8008 |    2.156 |    2.056 |     manual
   3 |  LONG | 2023-05-15 06:30:00 | 2023-05-15 13:00:00 |       2495 |      2573 |   78 |   27497.4902 |   27408.4297 |   -0.324 |   -0.424 |     manual
   4 |  LONG | 2023-05-15 18:30:00 | 2023-05-18 07:40:00 |       2639 |      3373 |  734 |   27421.0605 |   27353.0605 |   -0.248 |   -0.348 |     manual
   5 |  LONG | 2023-05-18 07:45:00 | 2023-05-18 07:50:00 |       3374 |      3375 |    1 |   27426.1406 |   27442.1309 |    0.058 |   -0.042 |     manual
   6 |  LONG | 2023-05-18 07:55:00 | 2023-05-18 08:00:00 |       3376 |      3377 |    1 |   27392.5898 |   27364.5098 |   -0.103 |   -0.203 |     manual
   7 |  LONG | 2023-05-18 09:25:00 | 2023-05-23 10:35:00 |       3394 |      4848 | 1454 |   27363.9297 |   27306.0293 |   -0.212 |   -0.312 |     manual
   8 |  LONG | 2023-05-23 20:30:00 | 2023-05-23 22:05:00 |       4967 |      4986 |   19 |   27160.0000 |   27218.4395 |    0.215 |    0.115 |     manual
   9 |  LONG | 2023-05-24 02:00:00 | 2023-05-28 13:35:00 |       5033 |      6324 | 1291 |   27145.7109 |   27215.9902 |    0.259 |    0.159 |     manual
  10 |  LONG | 2023-05-28 17:05:00 | 2023-05-28 18:20:00 |       6366 |      6381 |   15 |   27224.8809 |   27673.7500 |    1.649 |    1.549 |     manual
  11 |  LONG | 2023-05-28 18:55:00 | 2023-05-29 00:15:00 |       6388 |      6452 |   64 |   27587.7402 |   28349.8809 |    2.763 |    2.663 |     manual
  12 |  LONG | 2023-06-05 03:20:00 | 2023-06-05 12:05:00 |       8505 |      8610 |  105 |   26877.0000 |   26775.0000 |   -0.380 |   -0.480 |     manual
  13 |  LONG | 2023-06-05 17:00:00 | 2023-06-06 10:35:00 |       8669 |      8880 |  211 |   25734.7500 |   25775.2402 |    0.157 |    0.057 |     manual
  14 |  LONG | 2023-06-13 20:25:00 | 2023-06-13 21:50:00 |      11014 |     11031 |   17 |   25847.5801 |   25873.7109 |    0.101 |    0.001 |     manual
  15 |  LONG | 2023-06-13 22:30:00 | 2023-06-14 08:00:00 |      11039 |     11153 |  114 |   25832.4199 |   25907.9902 |    0.293 |    0.193 |     manual
  16 |  LONG | 2023-06-14 22:20:00 | 2023-06-15 13:30:00 |      11325 |     11507 |  182 |   25100.3496 |   25090.7305 |   -0.038 |   -0.138 |     manual
  17 |  LONG | 2023-06-15 22:25:00 | 2023-06-16 16:00:00 |      11614 |     11825 |  211 |   25599.0605 |   25820.7402 |    0.866 |    0.766 |     manual
  18 |  LONG | 2023-06-16 20:00:00 | 2023-06-18 14:25:00 |      11873 |     12382 |  509 |   26363.6797 |   26531.8301 |    0.638 |    0.538 |     manual
  19 |  LONG | 2023-06-18 18:15:00 | 2023-06-18 19:45:00 |      12428 |     12446 |   18 |   26596.2793 |   26646.2305 |    0.188 |    0.088 |     manual
  20 |  LONG | 2023-06-18 20:25:00 | 2023-06-19 11:50:00 |      12454 |     12639 |  185 |   26466.2402 |   26438.2207 |   -0.106 |   -0.206 |     manual
  21 |  LONG | 2023-06-19 19:00:00 | 2023-06-19 20:10:00 |      12725 |     12739 |   14 |   26525.7793 |   26810.0000 |    1.071 |    0.971 |     manual
  22 |  LONG | 2023-06-19 20:15:00 | 2023-06-20 00:45:00 |      12740 |     12794 |   54 |   26784.6699 |   26965.7305 |    0.676 |    0.576 |     manual
  23 |  LONG | 2023-06-20 02:00:00 | 2023-06-20 10:20:00 |      12809 |     12909 |  100 |   26896.0000 |   26822.0000 |   -0.275 |   -0.375 |     manual
  24 |  LONG | 2023-06-20 20:40:00 | 2023-06-20 21:05:00 |      13033 |     13038 |    5 |   28072.5703 |   28140.6992 |    0.243 |    0.143 |     manual
  25 |  LONG | 2023-06-20 21:35:00 | 2023-06-21 05:00:00 |      13044 |     13133 |   89 |   28202.6797 |   28776.5898 |    2.035 |    1.935 |     manual
  26 |  LONG | 2023-06-21 05:05:00 | 2023-06-21 07:35:00 |      13134 |     13164 |   30 |   28772.6504 |   28894.6191 |    0.424 |    0.324 |     manual
  27 |  LONG | 2023-06-21 07:40:00 | 2023-06-21 09:30:00 |      13165 |     13187 |   22 |   28901.3008 |   28891.7109 |   -0.033 |   -0.133 |     manual
  28 |  LONG | 2023-06-22 00:00:00 | 2023-06-22 09:20:00 |      13361 |     13473 |  112 |   29996.2695 |   30150.6406 |    0.515 |    0.415 |     manual
  29 |  LONG | 2023-06-22 21:00:00 | 2023-06-23 14:50:00 |      13613 |     13827 |  214 |   30161.8398 |   30219.5508 |    0.191 |    0.091 |     manual
  30 |  LONG | 2023-06-23 19:00:00 | 2023-06-27 14:05:00 |      13877 |     14970 | 1093 |   30842.8691 |   30974.4805 |    0.427 |    0.327 |     manual
  31 |  LONG | 2023-06-27 19:25:00 | 2023-06-29 13:25:00 |      15034 |     15538 |  504 |   30669.0000 |   30734.2207 |    0.213 |    0.113 |     manual
  32 |  LONG | 2023-06-29 20:25:00 | 2023-06-30 04:00:00 |      15622 |     15713 |   91 |   30355.9492 |   30735.9902 |    1.252 |    1.152 |     manual
  33 |  LONG | 2023-06-30 04:05:00 | 2023-06-30 04:40:00 |      15714 |     15721 |    7 |   30770.9297 |   31164.6406 |    1.279 |    1.179 |     manual
  34 |  LONG | 2023-06-30 04:45:00 | 2023-07-03 19:00:00 |      15722 |     16757 | 1035 |   31198.4902 |   31208.0000 |    0.030 |   -0.070 |     manual
  35 |  LONG | 2023-07-03 19:05:00 | 2023-07-03 19:10:00 |      16758 |     16759 |    1 |   31163.9902 |   31139.3008 |   -0.079 |   -0.179 |     manual
  36 |  LONG | 2023-07-03 19:15:00 | 2023-07-04 11:00:00 |      16760 |     16949 |  189 |   31190.6309 |   31020.0508 |   -0.547 |   -0.647 |     manual
  37 |  LONG | 2023-07-04 19:35:00 | 2023-07-05 07:00:00 |      17052 |     17189 |  137 |   30678.4609 |   30806.0391 |    0.416 |    0.316 |     manual
  38 |  LONG | 2023-07-06 00:00:00 | 2023-07-06 06:45:00 |      17393 |     17474 |   81 |   30484.6094 |   30686.5801 |    0.663 |    0.563 |     manual
