RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/candidates/m006.zip
Initial Balance : 10000.00
Final Balance   : 2697.75
Total Return(%) : -73.02
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 561
Long Trades     : 345
Short Trades    : 216
Win Rate(%)     : 51.16

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  LONG | 2023-05-13 22:05:00 | 2023-05-15 14:15:00 |       2106 |      2588 |  482 |   26844.6191 |   27243.0996 |    1.484 |    1.384 |     manual
   2 |  LONG | 2023-05-15 14:45:00 | 2023-05-16 13:55:00 |       2594 |      2872 |  278 |   27412.7109 |   26984.5605 |   -1.562 |   -1.662 |     manual
   3 |  LONG | 2023-05-16 14:05:00 | 2023-05-21 11:00:00 |       2874 |      4277 | 1403 |   26963.1504 |   26910.0703 |   -0.197 |   -0.297 |     manual
   4 | SHORT | 2023-05-28 11:10:00 | 2023-05-29 15:30:00 |       6295 |      6635 |  340 |   27228.4609 |   27665.0996 |   -1.604 |   -1.704 |     manual
   5 |  LONG | 2023-05-29 16:05:00 | 2023-05-30 12:00:00 |       6642 |      6881 |  239 |   27658.2695 |   28002.2695 |    1.244 |    1.144 |     manual
   6 | SHORT | 2023-05-30 12:05:00 | 2023-06-05 10:20:00 |       6882 |      8589 | 1707 |   28006.2695 |   26753.0898 |    4.475 |    4.375 |     manual
   7 | SHORT | 2023-06-05 10:30:00 | 2023-06-05 15:35:00 |       8591 |      8652 |   61 |   26766.1094 |   26472.7793 |    1.096 |    0.996 |     manual
   8 |  LONG | 2023-06-05 15:40:00 | 2023-06-06 11:45:00 |       8653 |      8894 |  241 |   26446.9805 |   25681.3301 |   -2.895 |   -2.995 |     manual
   9 | SHORT | 2023-06-06 11:50:00 | 2023-06-06 12:40:00 |       8895 |      8905 |   10 |   25681.2891 |   25593.2695 |    0.343 |    0.243 |     manual
  10 |  LONG | 2023-06-06 13:40:00 | 2023-06-06 13:45:00 |       8917 |      8918 |    1 |   25643.2891 |   25700.2695 |    0.222 |    0.122 |     manual
  11 |  LONG | 2023-06-06 13:50:00 | 2023-06-07 14:15:00 |       8919 |      9212 |  293 |   25663.7207 |   26695.0000 |    4.018 |    3.918 |     manual
  12 |  LONG | 2023-06-07 16:00:00 | 2023-06-12 12:45:00 |       9233 |     10634 | 1401 |   26391.2793 |   25938.5000 |   -1.716 |   -1.816 |     manual
  13 | SHORT | 2023-06-12 12:50:00 | 2023-06-12 13:20:00 |      10635 |     10641 |    6 |   25935.7598 |   25864.4395 |    0.275 |    0.175 |     manual
  14 |  LONG | 2023-06-12 13:30:00 | 2023-06-12 13:40:00 |      10643 |     10645 |    2 |   25839.2500 |   25816.5703 |   -0.088 |   -0.188 |     manual
  15 |  LONG | 2023-06-12 14:25:00 | 2023-06-13 11:55:00 |      10654 |     10912 |  258 |   25833.9297 |   26193.8398 |    1.393 |    1.293 |     manual
  16 | SHORT | 2023-06-13 12:00:00 | 2023-06-13 13:10:00 |      10913 |     10927 |   14 |   26224.3906 |   26042.4492 |    0.694 |    0.594 |     manual
  17 |  LONG | 2023-06-13 13:40:00 | 2023-06-13 13:45:00 |      10933 |     10934 |    1 |   26116.5098 |   26040.6094 |   -0.291 |   -0.391 |     manual
  18 |  LONG | 2023-06-13 13:55:00 | 2023-06-13 14:15:00 |      10936 |     10940 |    4 |   26038.0605 |   25988.1602 |   -0.192 |   -0.292 |     manual
  19 |  LONG | 2023-06-13 14:20:00 | 2023-06-13 14:40:00 |      10941 |     10945 |    4 |   26009.6406 |   25941.7305 |   -0.261 |   -0.361 |     manual
